address,propertyType,price,occupancy,url,images
Sudbury Hill London,house,190.0,"[{'total': 6}, {'available': 6}]",https://www.accommodationforstudents.com/property/257435-6-bed-house-sudbury-hill-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/0-1666628500645.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/0-1666628509918.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/0-1666628518092.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/2-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/3-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/4-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/5-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/0-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Ae056fb24-a499-42d6-a79c-ef3b5bb56424/1-1666785152454.jpeg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/afs/afs-9b170d90-dfb9-454b-81e3-822d5457d32f-0-1667211256000.jpg']"
Cricklewood London,studio,360.0,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/251807-1-bed-studio-cricklewood-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/5-1664992693928.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/6-1662421929770.JPG', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/1-1664992693928.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/2-1664992693928.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/3-1664992693928.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/4-1664992693928.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/1-1650797200463.JPG']"
North acton London,studio,313.0,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/163153-1-bed-studio-north-acton-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Aee5be6a6-dfee-43f8-a57d-c9620e25f1cb/1-1647960661026.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_Main.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Aee5be6a6-dfee-43f8-a57d-c9620e25f1cb/2-1647960661026.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Aee5be6a6-dfee-43f8-a57d-c9620e25f1cb/3-1647960661026.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Aee5be6a6-dfee-43f8-a57d-c9620e25f1cb/0-1647960712549.png', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533610_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533611_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533612_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533613_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533614_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533616_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533617_.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/163153_533618_.jpg']"
West Hampstead London,halls,295.0,"[{'total': None}, {'available': None}]",https://www.accommodationforstudents.com/student-hall/3550-iq-haywood-house-london,"['https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_main04082021121205.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121219.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121229.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121237.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121244.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121251.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121258.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121307.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121315.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121323.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121331.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121338.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121346.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121355.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_3550_additional04082021121402.jpg']"
,,,"[{'total': None}, {'available': None}]",,
Elephant & Castle London,studio,467.5,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/250970-1-bed-studio-elephant-&-castle-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/0-1658911325278.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/1-1658911325278.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/0-1658911334802.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/3-1658911342617.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/2-1658911342617.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/0-1658911518632.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/0-1658911367815.jpeg']"
Elephant & Castle London,studio,376.0,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/250952-1-bed-studio-elephant-&-castle-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/2-1637342927467.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/3-1637342927467.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/4-1637342927467.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/0-1637342927467.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A97630200-2c42-4dc7-b27e-a32cc3f0d24f/1-1637342927467.jpg']"
Tufnell Park London,flat,1530.0,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/250911-1-bed-flat-tufnell-park-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/0-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/1-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/2-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/3-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/4-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/5-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/6-1657972479332.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3A11568b1f-3bad-47cc-bb9b-88cd219d59cf/7-1657972479332.jpg']"
Hammersmith London,halls,278.0,"[{'total': None}, {'available': None}]",https://www.accommodationforstudents.com/student-hall/1653-ravenscourt-house-london,"['https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_main26032018095229.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095521.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095528.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095534.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095540.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095544.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095551.gif', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional26032018095557.jpg', 'https://afs-pbsa-images-prod.s3.eu-west-2.amazonaws.com/lphs_1653_additional22012019124205.jpg']"
White Chapel London,studio,359.0,"[{'total': 1}, {'available': 1}]",https://www.accommodationforstudents.com/property/250474-1-bed-studio-white-chapel-london,"['https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Adf8d0658-bfcf-4675-9ed6-17798c7ca5ac/0-1589321941394.jpg', 'https://afs-property-images-prod.s3.eu-west-2.amazonaws.com/protected/eu-west-2%3Adf8d0658-bfcf-4675-9ed6-17798c7ca5ac/1-1589321941394.jpg']"
Central London,flat,189.0,"[{'total': 3}, {'available': 3}]",https://www.accommodationforstudents.com/property/155404-3-bed-flat-central-london,"['https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_Main.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584981_1.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584982_2.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584983_3.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584984_4.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584985_5.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584986_7.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584987_6.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584988_9.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/155404_584989_10.jpg']"
London bridge London,flat,192.0,"[{'total': 3}, {'available': 3}]",https://www.accommodationforstudents.com/property/65889-3-bed-flat-london-bridge-london,"['https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_Main.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585050_1.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585059_3.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585060_4.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585061_7.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585062_10.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585063_5.jpg', 'https://afs-legacy-property-images-prod.s3.eu-west-2.amazonaws.com/65889_585064_11.jpg']"
